pca_components,min_cluster_size,min_samples,method,epsilon,n_clusters,n_noise,coverage,dbcv,base_score,count_penalty,final_score
5,15,3,eom,0.5,4,871,0.2031,0.0002,0.0,0.7692,0.0
5,15,3,eom,1.0,4,871,0.2031,0.0002,0.0,0.7692,0.0
5,15,3,leaf,0.0,5,940,0.14,0.0003,0.0,0.6897,0.0
5,15,3,leaf,0.3,5,940,0.14,0.0003,0.0,0.6897,0.0
5,15,3,leaf,0.5,5,940,0.14,0.0003,0.0,0.6897,0.0
5,15,3,leaf,1.0,5,940,0.14,0.0003,0.0,0.6897,0.0
5,15,5,eom,0.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,15,5,eom,0.3,2,940,0.14,0.0001,0.0,1.0,0.0
5,15,5,eom,0.5,2,940,0.14,0.0001,0.0,1.0,0.0
5,15,5,eom,1.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,15,5,leaf,0.0,3,961,0.1208,0.0814,0.0098,0.8696,0.0086
5,15,5,leaf,0.3,3,961,0.1208,0.0814,0.0098,0.8696,0.0086
5,15,5,leaf,0.5,3,961,0.1208,0.0814,0.0098,0.8696,0.0086
5,15,5,leaf,1.0,3,961,0.1208,0.0814,0.0098,0.8696,0.0086
5,15,10,eom,0.0,2,1022,0.065,0.0,0.0,1.0,0.0
5,15,10,eom,0.3,2,1022,0.065,0.0,0.0,1.0,0.0
5,15,10,eom,0.5,2,1022,0.065,0.0,0.0,1.0,0.0
5,15,10,eom,1.0,2,1022,0.065,0.0,0.0,1.0,0.0
5,15,10,leaf,0.0,2,1022,0.065,0.0,0.0,1.0,0.0
5,15,10,leaf,0.3,2,1022,0.065,0.0,0.0,1.0,0.0
5,15,10,leaf,0.5,2,1022,0.065,0.0,0.0,1.0,0.0
5,15,10,leaf,1.0,2,1022,0.065,0.0,0.0,1.0,0.0
5,25,1,eom,0.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,1,eom,0.3,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,1,eom,0.5,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,1,eom,1.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,1,leaf,0.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,1,leaf,0.3,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,1,leaf,0.5,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,1,leaf,1.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,25,3,eom,0.0,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,3,eom,0.3,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,3,eom,0.5,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,3,eom,1.0,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,3,leaf,0.0,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,3,leaf,0.3,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,3,leaf,0.5,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,3,leaf,1.0,3,844,0.2278,0.0004,0.0001,0.8696,0.0001
5,25,5,eom,0.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,5,eom,0.3,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,5,eom,0.5,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,5,eom,1.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,5,leaf,0.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,5,leaf,0.3,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,5,leaf,0.5,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,5,leaf,1.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,25,10,eom,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,25,10,eom,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
5,25,10,eom,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
5,25,10,eom,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,25,10,leaf,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,25,10,leaf,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
5,25,10,leaf,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
5,25,10,leaf,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,1,eom,0.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,1,eom,0.3,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,1,eom,0.5,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,1,eom,1.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,1,leaf,0.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,1,leaf,0.3,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,1,leaf,0.5,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,1,leaf,1.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,40,3,eom,0.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,3,eom,0.3,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,3,eom,0.5,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,3,eom,1.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,3,leaf,0.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,3,leaf,0.3,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,3,leaf,0.5,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,3,leaf,1.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,40,5,eom,0.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,5,eom,0.3,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,5,eom,0.5,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,5,eom,1.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,5,leaf,0.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,5,leaf,0.3,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,5,leaf,0.5,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,5,leaf,1.0,2,940,0.14,0.0001,0.0,1.0,0.0
5,40,10,eom,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,10,eom,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,10,eom,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,10,eom,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,10,leaf,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,10,leaf,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,10,leaf,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
5,40,10,leaf,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,60,1,eom,0.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,1,eom,0.3,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,1,eom,0.5,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,1,eom,1.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,1,leaf,0.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,1,leaf,0.3,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,1,leaf,0.5,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,1,leaf,1.0,2,870,0.204,0.0005,0.0001,1.0,0.0001
5,60,3,eom,0.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,3,eom,0.3,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,3,eom,0.5,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,3,eom,1.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,3,leaf,0.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,3,leaf,0.3,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,3,leaf,0.5,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,3,leaf,1.0,2,872,0.2022,0.0002,0.0,1.0,0.0
5,60,5,eom,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
